state_name,state_name_slug,state_code,state_code_slug,votesmart,title,party,name,name_slug,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address_complete,address_number,address_prefix,address_street,address_sec_unit_type,address_sec_unit_num,address_city,address_state,address_zipcode,address_type,website,contact_page,facebook_url,twitter_handle,twitter_url,photo_url
North Dakota,north-dakota,ND,nd,170745,governor,republican,Douglas Burgum,douglas-burgum,Douglas,J.,Burgum,NA,Doug,DOAG BUR-gum,male,white-american,unspecified,NA,1956-08-01,2016-12-15,2023-01-01,"Douglas J. Burgum (born August 1, 1956) is an American entrepreneur, philanthropist and politician serving as the 33rd and current Governor of North Dakota since December 15, 2016. He is a member of the Republican Party.",701-328-2200,701-328-2205,46.8207013,-100.7849455,"600 East Boulevard, Avenue Bismarck, ND 58505",600,NA,East,NA,NA,Avenue Bismarck,ND,58505,Blvd,https://www.governor.nd.gov/,https://www.governor.nd.gov/contact-us,https://facebook.com/GovernorDougBurgum,DougBurgum,https://twitter.com/DougBurgum,https://cdn.civil.services/us-governors/headshots/512x512/douglas-burgum.jpg
Ohio,ohio,OH,oh,21799,governor,republican,Michael DeWine,michael-dewine,Michael,NA,DeWine,NA,Mike,MYK DEE-wyn,male,white-american,roman-catholic,NA,1947-01-05,2019-01-01,2023-01-01,"Richard Michael DeWine is the Republican Governor of Ohio. DeWine was elected to the office on November 6, 2018.",614-466-3555,614-466-9354,39.9606364,-83.0031631,"77 South High Street, 30th Floor, Columbus, OH 43215",77,S,High,NA,NA,NA,NA,NA,St,https://governor.ohio.gov/,https://governor.ohio.gov/Contact/Contact-the-Governor,https://facebook.com/MikeDeWine,mikedewine,https://twitter.com/mikedewine,https://cdn.civil.services/us-governors/headshots/512x512/michael-dewine.jpg
Oklahoma,oklahoma,OK,ok,180027,governor,republican,Kevin Stitt,kevin-stitt,Kevin,NA,Stitt,NA,NA,KE-vin STIT,male,white-american,unspecified,NA,1972-12-28,2019-01-01,2022-12-31,"Kevin Stitt is the Republican Governor of Oklahoma. Stitt was elected to the office on November 6, 2018.",405-521-2342,405-521-3353,35.460835,-97.499706,"Capitol Building, 2300 Lincoln Blvd., Rm. 212, Oklahoma City, OK 73105",NA,NA,Capitol,Building,2300,NA,NA,NA,NA,https://www.gov.ok.gov/,https://www.ok.gov/governor/Contact_the_Governor/index.html,https://facebook.com/StittForGovernor,GovStitt,https://twitter.com/GovStitt,https://cdn.civil.services/us-governors/headshots/512x512/kevin-stitt.jpg
Oregon,oregon,OR,or,2990,governor,democrat,Katherine Brown,katherine-brown,Katherine,NA,Brown,NA,Kate,KAYT BROWN,female,white-american,unspecified,NA,1960-06-21,2015-02-18,2023-01-01,"Katherine Brown (born June 21, 1960) is an American politician who is the 38th and current Governor of Oregon. Brown, a Democrat and an attorney, previously served as Oregon Secretary of State and as majority leader of the Oregon State Senate, where she represented portions of Milwaukie and of Northeast and Southeast Portland.",503-378-4582,503-378-8970,44.9382486,-123.032757,"160 State Capitol, 900 Court Street, Salem, OR 97301-4047",160,NA,State,NA,NA,NA,NA,NA,NA,https://www.oregon.gov/gov/pages/index.aspx,https://www.oregon.gov/gov/Pages/share-your-opinion.aspx,https://facebook.com/oregongovernor,OregonGovBrown,https://twitter.com/OregonGovBrown,https://cdn.civil.services/us-governors/headshots/512x512/katherine-brown.jpg
Pennsylvania,pennsylvania,PA,pa,77203,governor,democrat,Thomas Wolf,thomas-wolf,Thomas,Westerman,Wolf,NA,Tom,TAWM WAWLF,male,white-american,unspecified,NA,1948-11-17,2015-01-20,2023-01-01,"Thomas Westerman Wolf (born November 17, 1948) is an American businessman and politician who is the 47th and current Governor of Pennsylvania, since taking office on January 20, 2015. A Democrat, he defeated Republican incumbent Tom Corbett in the 2014 gubernatorial election. Previously, Wolf served as the Secretary of the Pennsylvania Department of Revenue from April 2007 until November 2008 and as an executive in his family-owned business.",717-787-2500,717-772-8284,40.2645516,-76.8860975,"508 Main Capitol Building, Harrisburg, PA 17120",508,NA,Main Capitol,Building,Harrisbur,g,PA,17120,NA,https://www.governor.pa.gov/,https://www.governor.pa.gov/contact/,https://facebook.com/governorwolf,governortomwolf,https://twitter.com/governortomwolf,https://cdn.civil.services/us-governors/headshots/512x512/thomas-wolf.jpg
Rhode Island,rhode-island,RI,ri,80328,governor,democrat,Daniel McKee,daniel-mckee,Daniel,NA,McKee,NA,Dan,da-nee-el mc-kee,male,white-american,unspecified,NA,1951-06-16,2021-03-02,2023-01-01,"McKee served six terms as mayor of Cumberland prior to his election to statewide office. In addition to his time in public service, McKee was a small business owner and operator for 30 years.",401-222-2371,NA,41.83089,-71.4172107,"82 Smith Street, Room 116, Providence, RI 02903",82,NA,Smith,Room,116,Providence,RI,02903,St,http://www.ltgov.ri.gov/,http://www.ltgov.ri.gov/contact/,https://facebook.com/LGDanMcKee,LGDanMcKee,https://twitter.com/LGDanMcKee,https://cdn.civil.services/us-governors/headshots/512x512/daniel-mckee.jpg
South Carolina,south-carolina,SC,sc,48189,governor,republican,Henry McMaster,henry-mcmaster,Henry,Dargan,McMaster,NA,NA,HEN-ree MUHK-MAS-ter,male,white-american,presbyterian,NA,1947-05-27,2017-01-24,2023-01-01,"Henry Dargan McMaster (born May 27, 1947) is an American politician and attorney who is the 117th and current Governor of South Carolina. He assumed office on January 24, 2017. He previously served as the 91st Lieutenant Governor of South Carolina from 2015 to 2017, as well as Attorney General of South Carolina from 2003 to 2011.",803-734-2100,803-734-5167,34.0004102,-81.0350236,"The Honorable Henry McMaster, Office of the Governor, 1100 Gervais Street, Columbia, SC 29201",NA,NA,The,NA,NA,NA,NA,NA,NA,https://governor.sc.gov/Pages/default.aspx,https://governor.sc.gov/Contact/Pages/default.aspx,https://facebook.com/HenryMcMaster,henrymcmaster,https://twitter.com/henrymcmaster,https://cdn.civil.services/us-governors/headshots/512x512/henry-mcmaster.jpg
South Dakota,south-dakota,SD,sd,58189,governor,republican,Kristi Noem,kristi-noem,Kristi,NA,Noem,NA,NA,KRIS-tee NAH-em,female,white-american,unspecified,NA,1971-11-30,2019-01-01,2023-01-01,"Kristi L. Noem is the Republican Governor of South Dakota. Noem was elected to the office on November 6, 2018. Noem is a former Republican member of the U.S. House of Representatives from the state of South Dakota. She represented South Dakota's At-Large Congressional District from 2011 to 2019.",605-773-3212,605-773-4711,44.367121,-100.346159,"500 East Capitol Avenue, Piere, SD 57501",500,E,Capitol,NA,NA,Piere,SD,57501,Ave,https://sd.gov/governor/,https://sd.gov/governor/contact/default.aspx,https://facebook.com/kristiforgovernor,kristinoem,https://twitter.com/kristinoem,https://cdn.civil.services/us-governors/headshots/512x512/kristi-noem.jpg
Tennessee,tennessee,TN,tn,180465,governor,republican,Bill Lee,bill-lee,Bill,NA,Lee,NA,NA,BIL LEE,male,white-american,christian,NA,1959-10-09,2019-01-01,2023-01-01,"Bill Lee is the Republican Governor of Tennessee. Lee was elected to the office on November 6, 2018.",615-741-2001,615-532-9711,36.165832,-86.78423,"Tennessee State Capitol, Nashville, TN 37243-0001",NA,NA,Tennessee,NA,NA,NA,NA,NA,NA,https://www.tn.gov/governor,https://www.tn.gov/governor/contact-us.html,https://facebook.com/BillLeeTN,billleetn,https://twitter.com/billleetn,https://cdn.civil.services/us-governors/headshots/512x512/bill-lee.jpg
Texas,texas,TX,tx,50168,governor,republican,Gregory Abbott,gregory-abbott,Gregory,Wayne,Abbott,NA,Greg,GREG A-buht,male,white-american,roman-catholic,NA,1957-11-13,2015-01-20,2023-01-01,"Gregory Wayne Abbott (born November 13, 1957) is an American lawyer and politician who currently serves as the 48th Governor of Texas since January 2015. During the Governorship of his predecessor, Rick Perry, Abbott was the 50th Attorney General of Texas and is a Republican.",512-463-2000,512-463-5571,30.2727169,-97.7410268,"Office of the Governor, Post Office Box 12428, Austin, TX 78711-2428",NA,NA,of,Office,NA,NA,NA,NA,NA,https://gov.texas.gov/,https://gov.texas.gov/contact/,https://facebook.com/TexasGovernor,GregAbbott_TX,https://twitter.com/GregAbbott_TX,https://cdn.civil.services/us-governors/headshots/512x512/gregory-abbott.jpg
Utah,utah,UT,ut,114270,governor,republican,Spencer Cox,spencer-cox,Spencer,NA,Cox,NA,NA,spen-cer kawks,male,white-american,unspecified,NA,1975-07-11,2021-01-04,2025-01-01,"Cox was raised and lives in Fairview, Utah. He was elected to the city council in 2004 and mayorship the next year. After overseeing rural economic development in Fairview, Cox was elected as a county commissioner for Sanpete County in 2008. He was elected to the Utah House of Representatives in 2012.",801-538-1041,801-538-1133,40.7774298,-111.8885905,"350 State St #200, Salt Lake City, UT 84114",350,NA,State,#,200,Salt Lake City,UT,84114,St,https://governor.utah.gov,https://governor.utah.gov/contact/,https://facebook.com/utgovernorcox,GovCox,https://twitter.com/GovCox,https://cdn.civil.services/us-governors/headshots/512x512/spencer-cox.jpg
Vermont,vermont,VT,vt,55934,governor,republican,Philip Scott,philip-scott,Philip,NA,Scott,NA,Phil,FIL SKAHT,male,white-american,unspecified,NA,1958-08-04,2017-01-05,2023-01-01,"Philip Scott (born August 4, 1958) is an American politician and businessman serving as the 82nd and current Governor of the state of Vermont, since January 2017. A Republican, he won the 2016 general election with over 52% of the vote. He was previously the 80th Lieutenant Governor of Vermont, an office he held from 2011 to 2017.",802-828-3333,802-828-3339,44.2612298,-72.5817197,"109 State Street, Pavilion Montpelier, VT 05609",109,NA,State,NA,NA,Pavilion Montpelier,VT,05609,St,https://governor.vermont.gov/,https://governor.vermont.gov/contact-us/message,https://facebook.com/GovPhilScott,GovPhilScott,https://twitter.com/GovPhilScott,https://cdn.civil.services/us-governors/headshots/512x512/philip-scott.jpg
Virginia,virginia,VA,va,90253,governor,democrat,Ralph Northam,ralph-northam,Ralph,Shearer,Northam,NA,NA,RALF NORTH-am,male,white-american,unspecified,NA,1959-09-13,2018-01-13,2022-01-01,"Ralph Shearer Northam (born September 13, 1959) is an American physician, veteran and politician serving as the 73rd Governor of Virginia since January 13, 2018. He served as the 40th Lieutenant Governor of Virginia from 2014 to 2018 prior to winning the governorship against Republican nominee Ed Gillespie in 2017.",804-786-2211,804-371-6351,37.6284448,-77.5469394,"Post Office Box 1475, Richmond, VA 23218",NA,NA,NA,Post Office Box,1475,Richmond,VA,23218,NA,https://governor.virginia.gov/,https://governor.virginia.gov/constituent-services/communicating-with-the-governors-office/,https://facebook.com/ralph.northam,ralphnortham,https://twitter.com/ralphnortham,https://cdn.civil.services/us-governors/headshots/512x512/ralph-northam.jpg
Washington,washington,WA,wa,27125,governor,democrat,Jay Inslee,jay-inslee,Jay,Robert,Inslee,NA,NA,JAY INZ-lee,male,white-american,protestant,NA,1951-02-09,2013-01-16,2023-01-01,"Jay Robert Inslee (born February 9, 1951) is an American politician, attorney and member of the Democratic Party who has served as the 23rd Governor of Washington since January 2013.",360-902-4111,360-753-4110,47.0400036,-122.892194,"Office of the Governor, Post Office Box 40002, Olympia, WA 98504-0002",NA,NA,of,Office,NA,NA,NA,NA,NA,https://www.governor.wa.gov/,https://www.governor.wa.gov/contact/contact/send-gov-inslee-e-message,https://facebook.com/WaStateGov,jayinslee,https://twitter.com/jayinslee,https://cdn.civil.services/us-governors/headshots/512x512/jay-inslee.jpg
West Virginia,west-virginia,WV,wv,166287,governor,democrat,James Justice,james-justice,James,Conley,Justice,Jr.,Jim,JIM JUS-tis,male,white-american,unspecified,NA,1951-04-27,2017-01-16,2023-01-01,"James Conley Justice Jr. (born April 27, 1951) is an American coal mining and agriculture businessman and politician who is the 36th and current Governor of West Virginia since January 2017. Owner of over 50 companies, including The Greenbrier, a luxury resort, Justice is one of the few billionaires from the state of West Virginia. A Democrat, Justice ran for Governor in the 2016 general election as the Democratic nominee, defeating the Republican nominee, Bill Cole.",304-558-2000,NA,38.3372072,-81.6145768,"State Capitol, 1900 Kanawha Blvd. E, Charleston, WV 25305",NA,NA,State,NA,NA,NA,NA,NA,NA,https://www.governor.wv.gov/Pages/default.aspx,https://www.governor.wv.gov/Pages/SubmitaCommenttotheGovernor.aspx,https://facebook.com/WVGovernor,WVGovernor,https://twitter.com/WVGovernor,https://cdn.civil.services/us-governors/headshots/512x512/james-justice.jpg
Wisconsin,wisconsin,WI,wi,112861,governor,democrat,Tony Evers,tony-evers,Tony,NA,Evers,NA,NA,TOH-nee E-verz,male,white-american,unspecified,NA,1951-11-05,2019-01-01,2022-12-31,"Tony Evers is the Democratic Governor of Wisconsin. Evers was elected to the office on November 6, 2018.",608-266-1212,608-267-8983,43.0747036,-89.385863,"115 East State Capitol, Madison, Wi 53707",115,E,State Capitol,NA,NA,Madison,Wi,53707,NA,https://www.wisgov.state.wi.us/,https://evers.wi.gov/Pages/connect.aspx,https://facebook.com/Tony4WI,tony4wi,https://twitter.com/tony4wi,https://cdn.civil.services/us-governors/headshots/512x512/tony-evers.jpg
Wyoming,wyoming,WY,wy,106056,governor,republican,Mark Gordon,mark-gordon,Mark,NA,Gordon,NA,NA,MARK GOR-den,male,white-american,unspecified,NA,1957-03-14,2019-01-01,2022-12-31,"Mark Gordon is the Republican Governor of Wyoming. Gordon was elected to the office on November 6, 2018.",307-777-7434,307-632-3909,41.1402682,-104.8202289,"200 W 24th St, Cheyenne, WY 82001",200,W,24th,NA,NA,Cheyenne,WY,82001,St,https://governor.wy.gov/,https://governor.wyo.gov/contact,https://facebook.com/markgordon4wyoming,mark_gordon_wy,https://twitter.com/mark_gordon_wy,https://cdn.civil.services/us-governors/headshots/512x512/mark-gordon.jpg
